goalnum;PR_GOALNUM;goalnum;model;real;TIME
1;0.53315522852829;0;1196;854;13/03/2018
1;0.53058250673195;7;1197;861;13/03/2018
0;0.52991954112415;0;1197;861;13/03/2018
1;0.52935944563148;0;1198;861;13/03/2018
0;0.52723599636034;0;1198;861;13/03/2018
0;0.52679837181418;5;1198;866;13/03/2018
1;0.52647239895284;1;1199;867;13/03/2018
0;0.52418658953861;1;1199;868;13/03/2018
2;0.52395819126866;0;1201;868;13/03/2018
1;0.52262687539533;3;1202;871;13/03/2018
0;0.52039295304685;4;1202;875;13/03/2018
0;0.51660710339025;0;1202;875;13/03/2018
0;0.51431932926246;1;1202;876;13/03/2018
1;0.5141149212614;0;1203;876;14/03/2018
0;0.51202115242395;0;1203;876;14/03/2018
7;0.50876683734879;0;1210;876;14/03/2018
1;0.50848196362084;1;1211;877;14/03/2018
0;0.50740948165678;0;1211;877;14/03/2018
1;0.50669377065304;0;1212;877;14/03/2018
0;0.50640220270566;1;1212;878;14/03/2018
0;0.50583074621354;0;1212;878;14/03/2018
0;0.50114201919244;1;1212;879;14/03/2018
7;0.50110658900111;1;1219;880;14/03/2018
0;0.50041841194626;1;1219;881;14/03/2018
0;0.49954015762077;0;1219;881;14/03/2018
3;0.49699405811377;1;1222;882;14/03/2018
0;0.49359055314586;2;1222;884;14/03/2018
1;0.49353551931556;0;1223;884;14/03/2018
0;0.49305543541619;2;1223;886;14/03/2018
3;0.4924465462044;0;1226;886;14/03/2018
0;0.49087556060396;1;1226;887;14/03/2018
6;0.48963806935237;0;1232;887;14/03/2018
2;0.48846345877856;0;1234;887;14/03/2018
0;0.48617028139134;1;1234;888;14/03/2018
0;0.48514562135801;12;1234;900;14/03/2018
0;0.47441641973501;3;1234;903;15/03/2018
0;0.47006512924904;0;1234;903;15/03/2018
0;0.46735839457179;0;1234;903;15/03/2018
1;0.46538980873542;0;1235;903;15/03/2018
0;0.46506739292127;0;1235;903;15/03/2018
0;0.46454154764448;1;1235;904;15/03/2018
0;0.46439863591339;0;1235;904;15/03/2018
0;0.46280959793924;2;1235;906;15/03/2018
0;0.45791157756836;0;1235;906;15/03/2018
0;0.45677964257545;0;1235;906;15/03/2018
0;0.45661849659774;0;1235;906;15/03/2018
1;0.45577297059525;8;1236;914;15/03/2018
0;0.45256698941715;6;1236;920;15/03/2018
0;0.44721140542445;1;1236;921;15/03/2018
0;0.4445953728226;0;1236;921;15/03/2018
0;0.44439309111565;1;1236;922;15/03/2018
0;0.44276304585267;0;1236;922;15/03/2018
